image,type,subtype,concatenated_type,set
100147700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100098100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100140400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100095600.png,Rost,Strassenrost,Rost / Strassenrost,train
100046400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100084500.png,Rost,Strassenrost,Rost / Strassenrost,train
100217100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100090900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100061900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100177200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100106600.png,Rost,Strassenrost,Rost / Strassenrost,train
100132200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100137300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100021200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100197400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100200500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100046100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100210600.png,Rost,Strassenrost,Rost / Strassenrost,test
100098500.png,Rost,Strassenrost,Rost / Strassenrost,train
100190700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100077400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100207900.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100170700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100065700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100131900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100106000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100150000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100192200.png,Rost,Strassenrost,Rost / Strassenrost,train
100016200.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100203600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100026600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100188800.png,Rost,Strassenrost,Rost / Strassenrost,test
100058600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100024900.png,Rost,Strassenrost,Rost / Strassenrost,train
100092800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100179000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100195000.png,Rost,Strassenrost,Rost / Strassenrost,train
100042900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100120500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100114100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100092000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100015900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100108300.png,Rost,Strassenrost,Rost / Strassenrost,val
100113300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100010400.png,Rost,Strassenrost,Rost / Strassenrost,train
100138300.png,Andere,-,Andere / -,train
100167000.png,Andere,-,Andere / -,test
100157800.png,Rost,Strassenrost,Rost / Strassenrost,train
100145000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100182200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100190300.png,Rost,Strassenrost,Rost / Strassenrost,val
100164200.png,Rost,Strassenrost,Rost / Strassenrost,train
100210300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100094100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100097100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100194200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100193300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100160400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100205300.png,Rost,Strassenrost,Rost / Strassenrost,val
100110700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100118800.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100078800.png,Rost,Strassenrost,Rost / Strassenrost,train
100073700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100150200.png,Rost,Strassenrost,Rost / Strassenrost,train
100089800.png,Rost,Strassenrost,Rost / Strassenrost,val
100095900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100083300.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100025000.png,Rost,Strassenrost,Rost / Strassenrost,val
100169900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100085500.png,Rost,Strassenrost,Rost / Strassenrost,train
100119600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100153500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100178700.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100166300.png,Rost,Strassenrost,Rost / Strassenrost,train
100015100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100021000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100105300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100132800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100086700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100001300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100013100.png,Rost,Strassenrost,Rost / Strassenrost,train
100001300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100061600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100096000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100197900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100196800.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,val
100070500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100198900.png,Rost,Strassenrost,Rost / Strassenrost,train
100178100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100210700.png,Rost,Strassenrost,Rost / Strassenrost,train
100060900.png,Rost,Strassenrost,Rost / Strassenrost,val
100149400.png,Rost,Strassenrost,Rost / Strassenrost,train
100028500.png,Rost,Strassenrost,Rost / Strassenrost,train
100193600.png,Rost,Strassenrost,Rost / Strassenrost,train
100065200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100026000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100122600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100049500.png,Rost,Strassenrost,Rost / Strassenrost,train
100176200.png,Rost,Strassenrost,Rost / Strassenrost,val
100006100.png,Rost,Strassenrost,Rost / Strassenrost,train
100020300.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100211000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100202500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100113500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100166500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100020600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100174700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100029100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100111100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100139400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100104300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100203900.png,Rost,Strassenrost,Rost / Strassenrost,val
100194000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100075200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100084200.png,Rost,Strassenrost,Rost / Strassenrost,train
100066500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100179600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100005900.png,Rost,Strassenrost,Rost / Strassenrost,train
100075900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100094300.png,Rost,Strassenrost,Rost / Strassenrost,train
100038300.png,Andere,-,Andere / -,train
100031500.png,Rost,Strassenrost,Rost / Strassenrost,train
100145700.png,Rost,Strassenrost,Rost / Strassenrost,train
100184400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100012300.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100143300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100100900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100000800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100068800.png,Rost,Strassenrost,Rost / Strassenrost,train
100140800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100014300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100195200.png,Rost,Strassenrost,Rost / Strassenrost,val
100031600.png,Rost,Strassenrost,Rost / Strassenrost,train
100074400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100166400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100089100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100158500.png,Rost,Strassenrost,Rost / Strassenrost,train
100018200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100213300.png,Rost,Strassenrost,Rost / Strassenrost,train
100026200.png,Andere,-,Andere / -,train
100065500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100169200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100183600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100145800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100016600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100083400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100161000.png,Rost,Strassenrost,Rost / Strassenrost,train
100085900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100215600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100019700.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100162300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100001000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100032500.png,Rost,Strassenrost,Rost / Strassenrost,val
100113800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100022700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100028000.png,Rost,Strassenrost,Rost / Strassenrost,train
100042000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100076400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100054600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100207000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100050400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100019600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100017900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100194100.png,Rost,Strassenrost,Rost / Strassenrost,train
100137600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100033400.png,Rost,Strassenrost,Rost / Strassenrost,train
100114600.png,Rost,Strassenrost,Rost / Strassenrost,val
100116500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100005700.png,Andere,-,Andere / -,train
100214200.png,Rost,Strassenrost,Rost / Strassenrost,train
100052700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100134100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100104900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100071000.png,Rost,Strassenrost,Rost / Strassenrost,train
100073400.png,Rost,Strassenrost,Rost / Strassenrost,train
100132900.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100014700.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100033800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100023000.png,Rost,Strassenrost,Rost / Strassenrost,train
100064100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100137100.png,Rost,Strassenrost,Rost / Strassenrost,train
100213900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100132600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100105900.png,Andere,-,Andere / -,train
100038700.png,Rost,Strassenrost,Rost / Strassenrost,train
100123700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100089400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100035300.png,Andere,-,Andere / -,train
100189800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100088400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100144700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100216100.png,Rost,Strassenrost,Rost / Strassenrost,train
100118600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100085300.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100111700.png,Rost,Strassenrost,Rost / Strassenrost,train
100013900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100126800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100118000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100005200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100029800.png,Rost,Strassenrost,Rost / Strassenrost,train
100076900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100055700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100123800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100190600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100136500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100105100.png,Andere,-,Andere / -,train
100039300.png,Rost,Strassenrost,Rost / Strassenrost,val
100037600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100192700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100128800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100122900.png,Rost,Strassenrost,Rost / Strassenrost,train
100146800.png,Andere,-,Andere / -,train
100144100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100100100.png,Rost,Strassenrost,Rost / Strassenrost,val
100074300.png,Rost,Strassenrost,Rost / Strassenrost,train
100189600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,test
100042100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100207500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100077900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100179300.png,Rost,Strassenrost,Rost / Strassenrost,val
100024800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100192800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100216900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100165300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100026700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100111300.png,Andere,-,Andere / -,test
100134600.png,Rost,Strassenrost,Rost / Strassenrost,train
100111400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100202000.png,Rost,Strassenrost,Rost / Strassenrost,train
100079900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100208900.png,Rost,Strassenrost,Rost / Strassenrost,train
100062400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100078500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100116900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100178800.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100036500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100067800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100181000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100041100.png,Rost,Strassenrost,Rost / Strassenrost,train
100143600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100025600.png,Andere,-,Andere / -,train
100041300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100156700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100179900.png,Rost,Strassenrost,Rost / Strassenrost,val
100149200.png,Rost,Strassenrost,Rost / Strassenrost,train
100133100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100091700.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100152900.png,Rost,Strassenrost,Rost / Strassenrost,train
100142300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100140000.png,Rost,Strassenrost,Rost / Strassenrost,train
100033600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100010800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100048400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100079000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100216200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100119100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100032200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100190500.png,Rost,Strassenrost,Rost / Strassenrost,train
100140200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100098600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100016800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100207800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100140600.png,Rost,Strassenrost,Rost / Strassenrost,train
100081500.png,Rost,Strassenrost,Rost / Strassenrost,train
100202600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100138400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100142600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100051800.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100105600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100054800.png,Rost,Strassenrost,Rost / Strassenrost,train
100061500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100059000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100212300.png,Rost,Strassenrost,Rost / Strassenrost,val
100116300.png,Rost,Strassenrost,Rost / Strassenrost,train
100041400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100176900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100010500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100038100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100083900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100061400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100005500.png,Rost,Strassenrost,Rost / Strassenrost,train
100148200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100152400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100187500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100059400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100137800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100010600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100030400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100110200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100012900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100049100.png,Rost,Strassenrost,Rost / Strassenrost,train
100029200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100082600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100036100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100171000.png,Rost,Strassenrost,Rost / Strassenrost,train
100158600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100192500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100027300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100019500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100027600.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100009900.png,Andere,-,Andere / -,val
100195300.png,Rost,Strassenrost,Rost / Strassenrost,train
100042500.png,Rost,Strassenrost,Rost / Strassenrost,train
100079600.png,Rost,Strassenrost,Rost / Strassenrost,test
100128200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100201400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100057700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100012400.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100205700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100142500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100007600.png,Rost,Strassenrost,Rost / Strassenrost,train
100056500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100019900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100039500.png,Rost,Strassenrost,Rost / Strassenrost,test
100073300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100165200.png,Rost,Strassenrost,Rost / Strassenrost,train
100033200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100019400.png,Andere,-,Andere / -,train
100208300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100027500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100034200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100043300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100164000.png,Rost,Strassenrost,Rost / Strassenrost,val
100028800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100092300.png,Rost,Strassenrost,Rost / Strassenrost,train
100103600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100201100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100043200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100082800.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100122800.png,Rost,Strassenrost,Rost / Strassenrost,train
100064200.png,Rost,Strassenrost,Rost / Strassenrost,train
100040300.png,Rost,Strassenrost,Rost / Strassenrost,val
100126200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100146500.png,Rost,Strassenrost,Rost / Strassenrost,test
100165600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100170600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100131400.png,Rost,Strassenrost,Rost / Strassenrost,test
100053600.png,Rost,Strassenrost,Rost / Strassenrost,test
100015000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100071300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100022800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100050300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100170300.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100162500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100166100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100173600.png,Rost,Strassenrost,Rost / Strassenrost,train
100065300.png,Rost,Strassenrost,Rost / Strassenrost,train
100143700.png,Andere,-,Andere / -,train
100000600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100181200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100187000.png,Rost,Strassenrost,Rost / Strassenrost,train
100054400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100041800.png,Andere,-,Andere / -,val
100053500.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100040600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100071900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100102800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100037900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100071100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100159800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
